Accession,C_OEI06441,C_OEI06445,C_OEI06449,C_OEI06455,C_OEI06461,C_OEI06465,C_OEI06469,C_OEI06473,C_OEI06477,C_OEI06483,C_OEI06487,C_OEI06491,C_OEI06495,C_OEI06499,C_OEI06506,C_OEI06510,C_OEI06520,C_OEI06526,C_OEI06530,HCC_OEI06439,HCC_OEI06443,HCC_OEI06447,HCC_OEI06453,HCC_OEI06459,HCC_OEI06463,HCC_OEI06467,HCC_OEI06471,HCC_OEI06475,HCC_OEI06481,HCC_OEI06485,HCC_OEI06489,HCC_OEI06493,HCC_OEI06497,HCC_OEI06504,HCC_OEI06508,HCC_OEI06518,HCC_OEI06522,HCC_OEI06528
P34896,1241953.071,2418427.219,1583832.77,432752.4964,913842.7376,1242828.637,1195152.893,2184792.769,1867845.946,4521847.472,1366846.481,1831878.622,1425924.675,2769806.889,1209362.453,2209899.591,1171796.374,858208.5942,1809354.451,406105.394,2000358.332,1038469.129,867468.6958,1333370.303,235120.6617,223083.0102,1479626.349,750083.9348,547483.2658,1121889.928,161116.0654,830197.0611,2875035.005,162968.2203,231173.8027,185921.6108,1239558.641,175475.6032
P23919,8324.288431,5137.366978,4099.30862,2271.675905,5092.039339,3901.51948,3580.812591,4687.124793,4367.678928,10558.76672,4423.88215,3898.692851,5413.120237,5178.939813,2050.197978,10053.53411,5301.084852,4551.96249,4068.266697,15380.72041,19962.1351,38373.01841,15986.5624,10125.52762,8807.653958,15318.87097,4562.828911,6449.475363,12218.33586,8824.82818,10206.23472,8860.797377,5668.570438,4515.41744,4933.267828,5528.813914,9565.270744,6542.377422
Q14980,9915.942921,20490.41386,14973.78382,5551.367557,4255.400891,5669.541652,16783.87298,6587.678787,2957.643075,31437.67061,11445.95824,10761.41143,12536.88148,30645.54845,7415.955427,18721.85897,10678.91787,8693.117527,15088.30266,54418.08556,34112.1065,150270.04,86380.52618,18344.48696,13814.90499,28236.08573,19157.83043,14253.00275,60367.04251,28248.66838,21366.19119,24056.53586,14613.25725,17265.84436,9320.121574,40195.94716,21268.40161,45331.34664
P45954,3847610.823,3035508.643,2060632.319,301049.0076,2940484.774,2757872.374,3067155.776,2921931.941,2230295.201,4038624.572,2575878.064,3020121.639,2104671.676,2754939.741,968117.4418,3093239.782,2847827.012,1284379.784,3077980.115,1039329.697,2883015.504,1131226.425,1707305.08,2026718.292,1868504.181,1912485.899,1461590.642,967475.5529,451112.9965,1651137.636,1897977.252,946248.1463,1529161.611,372258.6004,691327.0202,264417.1775,871144.2404,252089.6072
Q9Y2X3,29710.56162,20379.15391,10116.97369,2573.487999,4957.210869,10848.41989,12014.55407,16972.48382,4936.06417,14519.22233,11038.44943,8125.612838,11204.89898,19142.78478,4338.937245,10686.33111,5070.033388,4878.460665,11748.09984,93637.77276,47397.72336,114200.5868,46758.00048,15663.34088,25671.70033,28749.74994,21215.41383,13876.59846,31250.88075,18139.84081,18640.31862,41807.08468,24259.22055,19392.70765,28929.05165,3591.177898,8348.983988,14595.71837
Q9Y2T2,24070.82675,16171.21905,5261.380276,6547.562502,9412.091272,17316.51281,13307.22025,18090.83735,8591.787431,26838.62802,9394.030817,14578.83754,14660.2813,20653.99425,4716.19614,10314.03246,11736.39012,9403.944145,11068.35259,34403.52328,44352.59696,86571.36579,150183.601,15590.80933,18852.43519,46555.37974,26358.68198,22713.88876,35360.0627,42659.89434,18280.02431,50526.54102,14678.82087,25199.34728,7137.069684,17640.59156,15376.90706,48581.08347
P62820,60203.43977,151514.5686,53264.38286,39385.15157,18059.6267,37669.1468,132882.6721,48397.3199,28198.16794,223632.552,114200.6934,100715.4683,142007.7578,159156.3115,50190.69042,59241.23784,91985.82142,55167.95198,90525.81481,429582.4306,315286.7125,1495268.831,330484.383,108246.4947,240234.4284,413343.556,205905.5893,249165.8866,679995.1231,195512.8779,156511.554,386014.3915,115181.9063,211939.7218,81913.56302,139680.8212,68419.5295,286083.621
Q9Y5B9,1757.634368,8583.493456,2729.788465,4082.614181,2014.649856,823.1825199,13913.73662,1901.527,669.8197917,5986.439606,5596.376217,3594.677738,700.8496592,9357.274299,1524.983893,2091.957081,3930.572403,2261.598778,7659.524642,35412.18767,15167.68825,124711.2056,17557.85074,6757.370287,8207.992714,17118.84812,12168.87991,11081.54705,28764.16922,32191.34911,16148.91671,4121.330385,12655.62859,17074.20598,14752.35208,6999.866806,9022.08822,19457.08969
P52758,7462577.341,6614568.736,4446504.607,844714.3456,5251185.427,8952630.576,4463655.646,7848994.455,8312797.745,10751168.84,3341595.222,6888509.169,5109020.492,3763364.085,2413202.757,7072413.703,4991248.768,2834066.085,3583248.024,2665583.643,3505102.358,3837182.376,1958229.387,2655647.033,3574664.362,2659664.881,3578233.486,5654287.702,528880.4611,3078638.455,2465220.97,4279069.156,4436023.478,1191518.127,834502.1576,573020.0844,2218941.797,174624.9136
Q96NU7,116291.8909,225395.1034,187340.0563,58130.81668,187914.3854,127095.2981,203123.8305,298693.6537,124998.0532,474789.356,93406.49254,168117.1787,237087.9292,144687.613,93109.21069,258900.288,238186.0436,94897.49507,228959.5796,53863.37948,76000.16435,271625.5347,101698.9052,106596.3146,133344.516,14297.38727,105235.3938,36612.38622,13711.95919,40340.28437,95867.12623,20752.66442,223317.2082,25426.8883,49564.89161,34498.40528,47792.08519,20191.31865
